review_url,author
/reviews/albums/17857-st-2-lettaz-the-g-the-growth-development/,Mike Madden
/reviews/albums/19386-sturgill-simpson-metamodern-sounds-in-country-music/,Stephen M. Deusner
/reviews/albums/tim-heidecker-too-dumb-for-suicide-tim-heideckers-trump-songs/,Marc Masters
/reviews/albums/10028-now-its-time/,Stephen M. Deusner
/reviews/albums/8412-absolutely-nothing/,Andy Beta
/reviews/albums/1185-pink/,Brandon Stosuy
/reviews/albums/czarface-mf-doom-czarface-meets-metal-face/,Mehan Jayasuriya
/reviews/albums/7826-young-dangerous-heart/,Brian Howe
/reviews/albums/16057-together/,Ian Cohen
/reviews/albums/7988-so-much-for-the-ten-year-plan-a-retrospective-1990-2000/,D. Erik Kempke
/reviews/albums/7730-leave-your-name/,Alan Smithee
/reviews/albums/jonny-greenwood-you-were-never-really-here-original-motion-picture-soundtrack/,Philip Sherburne
/reviews/albums/9768-friend-and-foe/,Joe Tangari
/reviews/albums/2820-at-crystal-palace/,Andy Beta
/reviews/albums/11789-g2-44-x2/,Mark Richardson
/reviews/albums/screaming-females-singles-too/,Brady Gerber
/reviews/albums/aleksi-perala-sunshine-3/,Philip Sherburne
/reviews/albums/15833-souta-mulle/,Larry Fitzmaurice
/reviews/albums/17643-johnny-marr-the-messenger/,Steven Hyden
/reviews/albums/16603-off/,Paul Thompson
/reviews/albums/david-lynch-angelo-badalamenti-thought-gang/,Andy Beta
/reviews/albums/muzz-muzz/,Zach Schonfeld
/reviews/albums/11420-arms-way/,Rebecca Raber
/reviews/albums/12180-death-magnetic/,Cosmo Lee
/reviews/albums/22296-vince-staples-prima-donna/,Mehan Jayasuriya
/reviews/albums/12807-static-tensions/,Cosmo Lee
/reviews/albums/18207--ziq-chewed-corners/,Angus Finlayson
/reviews/albums/14288-disintegration-deluxe-edition/,Nitsuh Abebe
/reviews/albums/rp-boo-established/,Ben Cardew
/reviews/albums/12857-gracewastelands/,Ian Cohen
/reviews/albums/10827-hourglass/,Nitsuh Abebe
/reviews/albums/pale-waves-who-am-i/,Ashley Bardhan
/reviews/albums/11262-alles-wieder-offen/,Brandon Stosuy
/reviews/albums/more-eaze-seth-graham-the-heart-pumps-kool-aid/,Sasha Geffen
/reviews/albums/15487-outbreeding/,Mike Powell
/reviews/albums/20231-carter-tutti-plays-chris-cosey/,Nick Neyland
/reviews/albums/13961-introducing/,Rebecca Raber
/reviews/albums/margaux-more-brilliant-is-the-hand-that-throws-the-coin/,Sophie Kemp
/reviews/albums/1340-the-cassettes/,Brian James
/reviews/albums/155-through-the-90s-singles-and-unreleased/,Nick Mirov
/reviews/albums/17631-privilege/,Jayson Greene
/reviews/albums/786-splay/,Dominique Leone
/reviews/albums/ana-da-silva-phew-island/,Sasha Geffen
/reviews/albums/15831-visits/,Grayson Currin
/reviews/albums/15586-living-2009-present/,Aaron Leitko
/reviews/albums/3102-holiday-diary/,Mark Richardson
/reviews/albums/daniele-luppi-parquet-courts-milano/,Andy Beta
/reviews/albums/19669-pissed-jeans-shallow/,Jason Heller
/reviews/albums/20685-katie-dey-asdfasdf/,Sasha Geffen
/reviews/albums/5841-dying-in-stereo/,Michael Idov
/reviews/albums/horsey-debonair/,Brian Howe
/reviews/albums/23199-collin-strange-how-i-creep/,Thea Ballard
/reviews/albums/15143-discontinued-perfume/,Joe Tangari
/reviews/albums/the-dream-lovehate/,Meaghan Garvey
/reviews/albums/22597-via-app-sixth-stitch/,Kevin Lozano
/reviews/albums/18294-the-love-language-ruby-red/,Patrick Bowman
/reviews/albums/12551-fabric-43/,Jess Harvell
/reviews/albums/1332-american-iii-solitary-man/,Ryan Kearney
/reviews/albums/10486-hey-trouble/,Marc Hogan
/reviews/albums/10172-vision-swim/,Mark Richardson
/reviews/albums/8504-the-death-of-a-girl-ep/,Samir Khan
/reviews/albums/14978-outside/,Grayson Currin
/reviews/albums/20692-the-heart-is-a-monster/,Saby Reyes-Kulkarni
/reviews/albums/2599-husk/,Ryan Dombal
/reviews/albums/20072-collected-1/,Philip Sherburne
/reviews/albums/6628-power/,Nick Sylvester
/reviews/albums/11009-the-captains-table/,Joshua Klein
/reviews/albums/16156-common-the-dreamerthe-believer/,Jayson Greene
/reviews/albums/15943-norman-ost/,Rachael Maddux
/reviews/albums/teyana-taylor-ktse/,Claire Lobenfeld
/reviews/albums/8874-sakura/,Mark Richardson
/reviews/albums/2020-kompakt-100/,Dominique Leone
/reviews/albums/8985-snapshot-ep/,David Raposa
/reviews/albums/3652-golden-black/,Cory D. Byrom
/reviews/albums/21967-the-digging-remedy/,Benjamin Scheim
/reviews/albums/12579-silent-city/,Joe Tangari
/reviews/albums/3835-around-the-house/,Mark Richardson
/reviews/albums/3771-de9-transitions/,Johnny Loftus
/reviews/albums/20498-your-good-fortune-ep/,Stephen M. Deusner
/reviews/albums/water-from-your-eyes-structure/,Phillipe Roberts
/reviews/albums/20170-the-king-of-anxiety-ep/,Jayson Greene
/reviews/albums/23141-miracle-steps-music-from-the-fourth-world-1983-2017/,Andy Beta
/reviews/albums/649-the-palace-at-4am-part-i/,Rob Mitchum
/reviews/albums/marika-hackman-any-human-friend/,Sophie Kemp
/reviews/albums/21269-love-is-a-hurtin-thing/,Andy Beta
/reviews/albums/romeo-santos-utopia/,Matthew Ismael Ruiz
/reviews/albums/21928-august-26th/,Sheldon Pearce
/reviews/albums/5666-rip-through-the-hawk-black-night/,Chris Dahlen
/reviews/albums/lil-peep-come-over-when-youre-sober-pt-2/,Jayson Greene
/reviews/albums/11094-the-cake-sale/,Joe Tangari
/reviews/albums/11010-run-from-safety/,Joshua Klein
/reviews/albums/43-jacksonville-city-nights/,Marc Hogan
/reviews/albums/608-to-the-5-boroughs/,Brent DiCrescenzo
/reviews/albums/18088-scott-walker-scott-walker-the-collection-1967-1970/,Mike Powell
/reviews/albums/13018-eats-darkness/,Brian Howe
/reviews/albums/9577-songbird/,Stephen M. Deusner
/reviews/albums/22602-telling-it-like-it-is/,Zoe Camp
/reviews/albums/20959-automaginary/,Aaron Leitko
/reviews/albums/13879-romance-is-boring/,Paul Thompson
/reviews/albums/hayley-williams-flowers-for-vases-descansos/,Arielle Gordon
/reviews/albums/1565-electric-circus/,Scott Hreha
/reviews/albums/22159-the-philips-years/,Carvell Wallace
/reviews/albums/14543-the-cradle/,Stephen M. Deusner
/reviews/albums/12823-elvis-perkins-in-dearland/,Amy Granzin
/reviews/albums/7027-zoomer/,Mark Richardson
/reviews/albums/6624-invisible-airline/,Paul Cooper
/reviews/albums/19824-drexciya-transllusion-neptunes-lairthe-opening-of-the-cerebral-gate/,Andy Beta
/reviews/albums/baauer-planets-mad/,Dani Blum
/reviews/albums/7157-italian-platinum/,William Bowers
/reviews/albums/16532-bright-eyes-fevers-mirrors-there-is-no-beginning-to-the-story-ep/,Ian Cohen
/reviews/albums/19582-bear-in-heaven-time-is-over-one-day-old/,Ian Cohen
/reviews/albums/19182-slint-spiderland-remastered-box-set/,Stuart Berman
/reviews/albums/alessandro-cortini-scuro-chiaro/,Brian Howe
/reviews/albums/13382-two-dancers/,Stuart Berman
/reviews/albums/19622-electric-wizard-time-to-die/,Kim Kelly
/reviews/albums/17533-3/,Steven Hyden
/reviews/albums/10071-score/,Jess Harvell
/reviews/albums/7912-taapetsounds/,Christopher Dare
/reviews/albums/12106-i-saw-the-ghost-of-an-unknown-soul-and-it-said/,Marc Masters
/reviews/albums/22001-fire/,Pat Healy
/reviews/albums/21916-modern-country/,Sam Sodomsky
/reviews/albums/2956-the-lucky-sperms-somewhat-humorous/,Jason Nickey
/reviews/albums/15921-cave-neverendless/,Evan Minsker
/reviews/albums/hand-habits-fun-house/,Will Gottsegen
/reviews/albums/12562-dragon-chinese-cocktail-horoscope/,Joe Tangari
/reviews/albums/9354-damaged/,Stephen M. Deusner
/reviews/albums/13415-break-up/,Marc Hogan
/reviews/albums/pinegrove-skylight/,Quinn Moreland
/reviews/albums/19147-millie-andrea-drop-the-vowels/,Larry Fitzmaurice
/reviews/albums/18064-tricky-false-idols/,Nate Patrin
/reviews/albums/12397-presents-skull-gang-takeover/,Ian Cohen
/reviews/albums/5386-the-little-red-songbook/,Brent DiCrescenzo
/reviews/albums/11240-turning-dragon/,Ryan Dombal
/reviews/albums/17917-traxx-the-house-that-garage-built/,Tim Finney
/reviews/albums/9838-marginalia/,Jason Crock
/reviews/albums/13621-the-first-days-of-spring/,Paul Thompson
/reviews/albums/4152-in-what-language/,Joe Tangari
/reviews/albums/15245-mazes/,Zach Kelly
/reviews/albums/645-the-unauthorized-biography-of-reinhold-messner/,Brent DiCrescenzo
/reviews/albums/sahbabii-barnacles/,Alphonse Pierre
/reviews/albums/19719-avi-buffalo-at-best-cuckold/,Ian Cohen
/reviews/albums/2689-with-strings-live-at-town-hall/,Rob Mitchum
/reviews/albums/11684-lake-tobaailanthus/,Stephen M. Deusner
/reviews/albums/heaven-in-her-arms-white-halo/,Andy O'Connor
/reviews/albums/7117-new-orbit/,Matt LeMay
/reviews/albums/17229-i-love-grime/,Lisa Blanning
/reviews/albums/23005-grid/,Seth Colter Walls
/reviews/albums/9928-love-of-diagrams-ep/,Brian Howe
/reviews/albums/jonsi-shiver/,Brian Howe
/reviews/albums/17381-widowmaker/,Grayson Currin
/reviews/albums/mike-will-made-it-creed-ii-the-album/,Stephen Kearse
/reviews/albums/10557-challengers/,Rob Mitchum
/reviews/albums/2735-senor-smoke/,Adam Moerder
/reviews/albums/sara-bug-sara-bug/,Sophia June
/reviews/albums/8999-ticket-crystals/,Mia Lily Clarke
